RUT_DV,Razón social,Tramo según ventas,Número de trabajadores,Tipo de contribuyente,Actividad económica,Región,Segmento,Scored,score,vertical,pain_point,reasoning,num_hijos,num_padres,Nombre_Fantasia,Sitio_Web,Confianza_Lookup
50075620-9,COMERCIAL EBERLEIN  SPA,9,48,SIN PER. JURIDICA,MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES,V REGION VALPARAISO,Manufactura / Retail,True,32.0,Manufactura Retail,Gestión y evaluación de riesgos en cadena de proveedores de manufactura y distribución retail,"Empresa mediana (48 trabajadores) en sector Manufactura Retail sin regulación sectorial específica (CMF, Sernageomin, SEC, CNE no aplican). No presenta señal externa. Dada su naturaleza de manufactura/retail con tamaño mediano, probablemente gestiona entre 50-200 proveedores en su cadena de suministro, lo que representa un área crítica de riesgo compliance y debida diligencia que Plutto podría resolver efectivamente.",0.0,0.0,,,
50112960-7,JURE ESGUEP LTDA,8,38,SIN PER. JURIDICA,"FABRICACION DE CUERDAS, CORDELES, BRAMANTES Y REDES",XIII REGION METROPOLITANA,Manufactura / Retail,True,32.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de suministro de proveedores de manufactura y retail,"JURE ESGUEP LTDA es una empresa mediana (38 trabajadores) en el sector Manufactura Retail sin estructura corporativa compleja. No está sujeta a regulación específica de CMF, Sernageomin, SEC o CNE (puntuación regulación = 0). Dado el tamaño mediano y el giro de manufactura/retail, se estima que maneja entre 50-200 proveedores típicos para operaciones de este tipo (puntuación proveedores = 15). No hay señal externa reportada (N/A = 0). El potencial pain_point es la necesidad de realizar debida diligencia en proveedores, un caso de uso clave para Plutto en empresas medianas que requieren compliance sin estructura formal de compliance.",0.0,0.0,,,
50159080-0,INDUSTRIAS CELTA SPA,13,348,SIN PER. JURIDICA,"FABRICACION DE COLCHONES, FABRICACION DE OTROS MUEBLES N.C.P.",IV REGION COQUIMBO,Manufactura / Retail,True,45.0,Manufactura Retail,Gestión y evaluación de riesgo en cadena de suministro con múltiples proveedores y relaciones comerciales complejas derivadas de su estructura corporativa con 6 empresas matrices,"Industrias Celta es una gran empresa manufacturera-retail (348 trabajadores) sin regulación sectorial específica (CMF, Sernageomin, SEC, CNE no aplican). Estima 50-200 proveedores típicos para manufactura de este tamaño, considerando operaciones en múltiples ubicaciones. La estructura corporativa con 6 empresas padres sugiere complejidad en relaciones comerciales y necesidad de debida diligencia. Sin señal externa reportada. El ICP es moderado-alto: necesita compliance en proveedores pero sin urgencia inmediata.",0.0,6.0,,,
50207400-8,SOCIEDAD DE TRANSPORTE  Y ARIDOS MAQUEHUE LIMITADA,8,57,SIN PER. JURIDICA,"EXTRACCION DE PIEDRA, ARENA Y ARCILLA",IX REGION DE LA ARAUCANIA,Mining / Energía,True,50.0,Mining/Energía,"Gestión de cumplimiento regulatorio y evaluación de riesgos en la cadena de proveedores de transporte y áridos, considerando normativas ambientales y de seguridad minera.","La empresa opera en el sector Mining/Energía (transporte y áridos), lo que la expone a regulación de Sernageomin y posiblemente CNE. Con 57 trabajadores (mediana), es probable que maneje entre 50-200 proveedores considerando la naturaleza de operaciones de transporte y extracción. No hay señal externa registrada (N/A). Como empresa mediana en sector regulado con múltiples proveedores, requiere debida diligencia continua para cumplimiento normativo.",0.0,1.0,,,
50314960-5,H M INSTALACIONES ELECTRICAS SPA,10,200,PERSONA JURIDICA COMERCIAL,INSTALACIONES ELECTRICAS,XIII REGION METROPOLITANA,Manufactura / Retail,True,45.0,Manufactura Retail,"Gestión y evaluación de riesgos en una cadena de proveedores de suministros eléctricos y componentes para instalaciones, asegurando cumplimiento normativo y calidad en el abastecimiento.","H M INSTALACIONES ELECTRICAS es una gran empresa (200 trabajadores) en el sector Manufactura Retail sin regulación específica de entidades como CMF, Sernageomin o CNE que aplique directamente a instalaciones eléctricas generales. Se estima que maneja entre 50-200 proveedores típicos para una empresa de este tamaño en el rubro de instalaciones y suministros eléctricos (15 puntos). No hay señal externa reportada (N/A = 0 puntos). Sin regulación sectorial específica (0 puntos).",0.0,1.0,,,
50413920-4,CASTHER SPA.,9,79,PERSONA JURIDICA COMERCIAL,OTRAS ACTIVIDADES DE TRANSPORTE DE PASAJEROS POR VIA TERRESTRE N.C.P.,III REGION DE ATACAMA,Utilities / Infraestructura,True,53.0,Utilities/Infraestructura,"Gestión y evaluación de riesgos de proveedores críticos en infraestructura, cumplimiento normativo ante reguladores como CNE y evaluación de idoneidad de colaboradores en operaciones de servicios esenciales.","CASTHER SPA opera en el sector Utilities/Infraestructura en la Región de Atacama, lo que implica regulación probable por CNE (Comisión Nacional de Energía) dada la naturaleza de este vertical (puntos regulación: 15). Con 79 trabajadores (mediana empresa) y 1 empresa hija, la estructura sugiere operaciones que requerirían una cadena de proveedores moderada, estimada entre 50-200 proveedores típicos de empresas de infraestructura de este tamaño (puntos proveedores: 15). No hay señal externa reportada (N/A), por lo que puntos señal: 0. El pain point refleja la necesidad crítica de due diligence en este sector altamente regulado.",1.0,0.0,,,
50777350-8,JOSE MIGUEL MENDIBURU GARCHITORENA Y COMPANIA LIMITADA,8,24,SIN PER. JURIDICA,ELABORACION DE PRODUCTOS DE PANADERIA Y PASTELERIA,XIII REGION METROPOLITANA,Manufactura / Retail,True,32.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores de manufactura y distribución retail,"Empresa mediana (24 trabajadores) en sector Manufactura Retail sin regulación específica de entidades como CMF, Sernageomin o CNE. No presenta señal externa relevante (N/A). Estimamos 50-200 proveedores típicos para una empresa de este tamaño en manufactura retail que requiere múltiples insumos y canales de distribución, asignando 15 puntos. El pain point principal es la debida diligencia y monitoreo continuo de proveedores y clientes en un ecosistema retail/manufacturero con riesgos operacionales y comerciales.",0.0,0.0,,,
52000288-K,FORESTAL Y ASERRADEROS LEONERA LIMITADA.,12,225,PERSONA JURIDICA COMERCIAL,ASERRADO Y ACEPILLADURA DE MADERA,XVI REGION DE ÑUBLE,Manufactura / Retail,True,60.0,Manufactura Retail,"Gestión y evaluación de riesgos de una cadena compleja de proveedores de materias primas forestales y distribuidores retail, considerando la estructura de 5 empresas filiales y operaciones en región de Ñuble.","Empresa manufacturera forestal de gran tamaño (225 trabajadores) sin regulación sectorial específica identificable (no financiera, minera, utilities ni energética). Por su escala operativa, complejidad con filiales y naturaleza de manufactura forestal con distribución retail, se estima manejo de proveedores en rango medio-alto (50-200), típico de cadenas de suministro forestales. Sin señal externa reportada (N/A). El principal valor de Plutto sería mitigar riesgos en evaluación de proveedores de insumos forestales y socios comerciales en cadena de distribución.",5.0,1.0,,,
52000553-6,DISTRIBUIDORA DE ALIMENTOS JUAN AILLON E.I.R.L.,8,12,PERSONA JURIDICA COMERCIAL,"VENTA AL POR MENOR EN COMERCIOS DE ALIMENTOS, BEBIDAS O TABACO (SUPERMERCADOS E HIPERMERCADOS)",VIII REGION DEL BIO BIO,Manufactura / Retail,True,32.0,Manufactura Retail,Gestión y evaluación de riesgos en la cadena de proveedores de alimentos para garantizar cumplimiento normativo y seguridad en la distribución,"La empresa es una distribuidora de alimentos pequeña-mediana (12 trabajadores) sin estructura corporativa compleja. No está sujeta a regulación directa de CMF, Sernageomin, SEC o CNE. Como distribuidora retail con 12 empleados, probablemente gestiona entre 50-200 proveedores (15 puntos) para mantener su operación de distribución. No hay señal externa reportada (N/A = 0 puntos). El pain_point relevante es la necesidad de validar proveedores de alimentos cumpliendo normativas sanitarias y de calidad, aspecto crítico en este rubro que Plutto puede resolver mediante KYB y detección de riesgos.",0.0,0.0,,,
52001080-7,BIOCABLE SUR E I R L,8,19,PERSONA JURIDICA COMERCIAL,TELEVISION DE PAGO SATELITAL,VIII REGION DEL BIO BIO,Utilities / Infraestructura,True,47.0,Utilities/Infraestructura,"Gestión y evaluación de riesgos en la cadena de proveedores de infraestructura, asegurando cumplimiento normativo de entidades reguladoras como CNE.","BIOCABLE SUR opera en el sector Utilities/Infraestructura (giro confirmado), lo que implica probable regulación por CNE (Comisión Nacional de Energía) dado el contexto de cables/infraestructura eléctrica, otorgando 15 puntos en regulación. Con 19 trabajadores (mediana) y siendo empresa de infraestructura, estima una cadena de proveedores moderada (50-200), asignando 15 puntos. Sin señal externa declarada (N/A), 0 puntos. El ICP es moderadamente alto (40 puntos) para una empresa mediana en sector regulado con cadena de suministro relevante.",0.0,0.0,,,
