deal_name,rut_encontrado,rut_fuente,score,vertical,pain_point,reasoning,charon_ok,Industry,Área de la empresa,Deal Stage
Agrichile,,no_encontrado,,,,,,Alimentos,Riesgo,Z - Closed Lost 
Australis Seafood,,no_encontrado,,,,,,Alimentos,Abastecimiento,Z - Closed Lost 
Agricola Ancali Ltda,79757460-0,gemini,45.0,Otro,Gestión y verificación de cumplimiento normativo de proveedores agrícolas y de insumos veterinarios para operaciones lecheras a gran escala,"La empresa es una productora lechera (ganadería bovina) con 1122 trabajadores, clasificada como gran empresa. No encaja en verticales específicos (Financiero, Mining/Energía, Utilities/Infraestructura, Manufactura Retail), por lo que se clasifica en 'Otro'. Regulación: 0 puntos porque el sector agrícola-ganadero no está bajo regulación de CMF, Sernageomin, SEC o CNE. Proveedores: 15 puntos (estimado 50-200) considerando que una lechería de esta envergadura requiere múltiples proveedores de alimento, medicinas veterinarias, equipos, pero no alcanza los 200+ típicos de manufactureros. Señal: 0 puntos porque no hay señal externa reportada (N/A). El pain_point identificado es común en empresas agrícolas grandes: necesidad de verificar y mantener cumplimiento normativo de su cadena de proveedores.",True,Alimentos,Abastecimiento,Z - Closed Lost 
Empresas Agrotop,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
Ecovida S.A.,96630110-4,gemini,43.0,Manufactura Retail,"Gestión y validación de proveedores de materias primas (cacao, insumos) y distribuidores minoristas; cumplimiento de regulaciones sanitarias y de etiquetado de productos de confitería.","ECOVIDA es una empresa de manufactura alimentaria dedicada a elaboración de cacao, chocolate y confitería, clasificada como gran empresa (120 trabajadores). Se asigna al vertical Manufactura Retail por su actividad de procesamiento y comercialización de productos de consumo. No se identifica regulación específica de CMF, Sernageomin, SEC o CNE que aplique (regulación=0). Para una empresa de este tamaño en manufactura de alimentos, se estima entre 50-200 proveedores (insumos, empaques, distribución), asignando 15 puntos. Sin señal externa reportada, se asigna 0. El pain point principal es la necesidad de validación KYB de proveedores críticos y cumplimiento normativo alimentario.",True,Alimentos,,Z - Closed Lost 
Empresas Ariztía,,no_encontrado,,,,,,Alimentos,Abastecimiento,Z - Closed Lost 
Empresas AquaChile,86247400-7,gemini,65.0,Manufactura Retail,"Gestión de cumplimiento regulatorio en acuicultura marina, verificación de proveedores de insumos y equipos especializados, y validación de cadena de suministro para operaciones en la industria pesquera.","La empresa se clasifica en Manufactura Retail por su naturaleza de producción y comercialización de productos acuícolas (peces marinos). La regulación obtiene 15 puntos porque el sector acuícola está bajo supervisión de entidades como Sernapesca y Sernageomin, con normativas ambientales y sanitarias estrictas. Los proveedores obtienen 15 puntos considerando que una granja marina de 1869 trabajadores requiere múltiples proveedores especializados de alimento, medicamentos, equipos y servicios (rango 50-200). La señal externa es 0 por no contar con información de eventos relevantes (N/A).",True,Alimentos,Financiero,Z - Closed Lost 
Entrevientos,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
FEMSA - Proveedores,,no_encontrado,,,,,,Alimentos,Abastecimiento,Z - Closed Lost 
Garces Fruit,,no_encontrado,,,,,,Alimentos,,Z - Closed Lost 
