RUT_DV;Razón social;Tramo según ventas;Número de trabajadores;Tipo de contribuyente;Actividad económica;Región;Segmento;Scored;score;vertical;pain_point;reasoning;num_hijos;num_padres;Nombre_Fantasia;Sitio_Web;Confianza_Lookup
61808000-5;AGUAS ANDINAS S A;13;1476;PERSONA JURIDICA COMERCIAL;CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;90.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en una cadena de proveedores compleja y extensa, con cumplimiento regulatorio de múltiples entidades supervisoras.;Aguas Andinas es una gran empresa de servicios de agua potable y saneamiento, claramente regulada por la Superintendencia de Servicios Sanitarios (regulación sectorial relevante = 15 puntos). Con 1476 trabajadores y 7 empresas filiales, opera una infraestructura crítica que requiere múltiples proveedores especializados (construcción, mantenimiento, químicos, equipos) estimados en más de 200 (25 puntos). No hay señal externa reportada (0 puntos). El vertical ya venía clasificado correctamente como Utilities/Infraestructura.;7.0;0.0;Aguas Andinas;https://www.aguasandinas.cl;Alta
61219000-3;EMPRESA DE TRANSPORTE DE PASAJEROS METRO S A;13;4987;PERSONA JURIDICA COMERCIAL;TRANSPORTE URBANO Y SUBURBANO DE PASAJEROS VIA METRO Y METROTREN;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;90.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en una cadena compleja de proveedores y contratistas de transporte público, asegurando cumplimiento normativo y operacional continuo.;Metro es una empresa estatal de transporte masivo fuertemente regulada por entidades como la CNE y autoridades de transporte, justificando 15 puntos en regulación. Por su tamaño (4,987 trabajadores), naturaleza operacional de infraestructura crítica y 3 empresas hijas, requiere una amplia red de proveedores (>200) para mantener operaciones: mantenimiento, suministros, servicios técnicos, logística, etc., obteniendo 25 puntos. Sin señal externa reportada = 0 puntos. El pain point identifica la necesidad crítica de evaluar y monitorear proveedores en un contexto regulado y de riesgo operacional elevado.;3.0;2.0;Metro;https://www.metro.cl;Alta
61703000-4;EMPRESA NACIONAL DE MINERIA;13;1429;INSTITUCIONES FISCALES;FABRICACION DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y DE OTROS METALES NO FERROSOS N.C.P.;III REGION DE ATACAMA;Manufactura / Retail;True;90.0;Manufactura Retail;Gestión de cumplimiento regulatorio y debida diligencia de una extensa cadena de proveedores en operaciones mineras y de manufactura, considerando la complejidad de múltiples empresas filiales.;Regulación (15 pts): Como empresa nacional de minería, está regulada por Sernageomin en aspectos de explotación minera y seguridad. Proveedores (25 pts): Una gran empresa minera/manufacturera con 1429 trabajadores y 6 filiales típicamente gestiona >200 proveedores en operaciones, insumos y servicios. Señal (0 pts): No se proporciona señal externa relevante. Esta es una empresa de gran envergadura en sector regulado con compleja estructura de proveedores, lo que genera alto potencial de demanda por soluciones de KYB y compliance.;6.0;0.0;ENAMI;https://www.enami.cl;Alta
61704000-K;CORP NACIONAL DEL COBRE DE CHILE;13;16946;INSTITUCIONES FISCALES;EXTRACCION Y PROCESAMIENTO DE COBRE;XIII REGION METROPOLITANA;Mining / Energía;True;90.0;Mining/Energía;Gestión y evaluación de riesgos de compliance en una cadena de suministro masiva con cientos de proveedores, filiales y operaciones en múltiples jurisdicciones.;Codelco es la mayor empresa minera estatal de Chile, por lo que está regulada por Sernageomin (regulador minero) y CNE (energía). Como gran empresa (16,946 trabajadores, 28 filiales) en Mining/Energía, gestiona una cadena de suministro compleja que supera ampliamente los 200 proveedores (puntuación máxima). Sin señal externa reportada (N/A), se asigna 0 puntos en este rubro. El pain_point se centra en la debida diligencia multi-stakeholder que requiere una empresa de esta escala.;28.0;0.0;CODELCO;https://www.codelco.com;Alta
70016330-K;CAJA DE COMPENSACION DE ASIGNACION FAMILIAR LOS HEROES;13;1680;ORG. SIN FINES DE LUCRO;CAJAS DE COMPENSACION;XIII REGION METROPOLITANA;Financiero;True;88.0;Financiero;Gestión y evaluación de riesgo de proveedores y colaboradores en un ecosistema financiero altamente regulado, con múltiples entidades subordinadas y requisitos de debida diligencia complejos.;La empresa es una Caja de Compensación (institución financiera) regulada por CMF, lo que justifica 15 puntos en regulación. Como gran empresa (1680 trabajadores) del sector financiero con 3 empresas hijas, probablemente gestiona más de 200 proveedores en servicios, tecnología e infraestructura, asignando 25 puntos. Sin señal externa reportada (N/A), se asignan 0 puntos. El pain_point refleja la necesidad crítica de compliance y KYB en el sector financiero regulado.;3.0;0.0;CAJAFAM LOS HÉROES;https://www.cajafam.cl;Media
70016160-9;LA ARAUCANA C C A F;13;1317;ORG. SIN FINES DE LUCRO;CAJAS DE COMPENSACION;XIII REGION METROPOLITANA;Financiero;True;88.0;Financiero;Gestión y debida diligencia de una amplia red de proveedores y colaboradores en el sector financiero, asegurando cumplimiento regulatorio y mitigación de riesgos de reputación.;LA ARAUCANA es una empresa financiera grande (1317 trabajadores, gran empresa = 20 puntos) clasificada en giro Financiero, por lo que está regulada por CMF (Comisión para el Mercado Financiero) con puntaje de 15. Dada su tamaño y estructura con 3 empresas hijas, probablemente maneja más de 200 proveedores en operaciones financieras, distribución y servicios complementarios, asignando 25 puntos. No hay señal externa proporcionada (N/A = 0 puntos). Como institución financiera regulada, Plutto podría resolver el pain point crítico de evaluar proveedores y colaboradores bajo estándares KYB complejos.;3.0;0.0;La Araucana;https://www.laaraucana.cl;Alta
61106000-9;ASTILLEROS Y MAESTRANZAS DE LA ARMADA;13;3580;INSTITUCIONES FISCALES;CONSTRUCCION DE BUQUES, EMBARCACIONES MENORES Y ESTRUCTURAS FLOTANTES;V REGION VALPARAISO;Manufactura / Retail;True;83.0;Manufactura Retail;Gestión y evaluación de riesgos en una cadena compleja de proveedores y subcontratistas para asegurar cumplimiento normativo y estándares de calidad en operaciones de manufactura naval.;ASTILLEROS Y MAESTRANZAS DE LA ARMADA (ASMAR) es una empresa estatal regulada por normativas navales y de defensa, probablemente bajo supervisión de entidades como la Armada de Chile y organismos de control estatal (15 puntos regulación). Con 3.580 trabajadores y 2 empresas subordinadas, es una gran empresa con operaciones complejas que típicamente gestiona más de 200 proveedores en cadenas de suministro de manufactura naval (25 puntos proveedores). No se reporta señal externa relevante (0 puntos). El pain point principal es la debida diligencia continua de múltiples proveedores en un sector altamente regulado y crítico para la seguridad nacional.;2.0;0.0;ASMAR;https://www.asmar.cl;Alta
59090630-1;SICE AGENCIA CHILE S.A.;12;690;SOCIEDADES EXTRANJERAS;OTROS SERVICIOS DE TELECOMUNICACIONES ALAMBRICAS N.C.P.;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;81.0;Utilities/Infraestructura;Gestión de riesgos y cumplimiento normativo en la cadena de proveedores de servicios críticos de infraestructura;SICE AGENCIA CHILE S.A. es una gran empresa (690 trabajadores) en el sector Utilities/Infraestructura, lo que implica regulación por la CNE (Comisión Nacional de Energía) o entidades similares (15 puntos). Su tamaño, estructura corporativa compleja (2 empresas hijas, 1 empresa padre) y giro en infraestructura sugieren una cadena de proveedores extensa superior a 200 (25 puntos). No hay señal externa reportada (0 puntos). El principal dolor para Plutto sería ayudar a evaluar y monitorear proveedores críticos en cumplimiento normativo, dada la naturaleza regulada del sector.;2.0;1.0;SICE;https://www.sice.cl;Alta
60503000-9;EMPRESA DE CORREOS DE CHILE;13;5503;INSTITUCIONES FISCALES;OTRAS ACTIVIDADES DE TELECOMUNICACIONES N.C.P.;XIII REGION METROPOLITANA;Utilities / Infraestructura;True;75.0;Utilities/Infraestructura;Gestión y evaluación de riesgos en una cadena de proveedores masiva (>200) sujeta a regulación de infraestructura crítica nacional;Correos de Chile es una empresa estatal de infraestructura crítica regulada por CNE y normativas de servicios postales. Con 5.503 trabajadores y como operador de servicios esenciales, probablemente gestiona más de 200 proveedores en categorías diversas (logística, TI, infraestructura, servicios). No hay señal externa específica (N/A). El pain_point central es la necesidad de KYB robusto dado el volumen de proveedores, exposición regulatoria y responsabilidad de cumplimiento normativo en sector crítico.;0.0;0.0;Correos Chile;https://www.correos.cl;Alta
59069860-1;ACCIONA CONSTRUCCION S.A. AGENCIA CHILE;13;3829;SOCIEDADES EXTRANJERAS;CONSTRUCCION DE PROYECTOS DE SERVICIO PUBLICO;XIII REGION METROPOLITANA;Manufactura / Retail;True;75.0;Manufactura Retail;Gestión y evaluación de riesgos de compliance en una cadena extensa de proveedores y colaboradores distribuidos en múltiples jurisdicciones.;ACCIONA es una gran empresa constructora/manufacturera (3,829 trabajadores, 15 empresas hijas) con operaciones complejas. No está regulada por CMF, Sernageomin, SEC o CNE. Por su tamaño y complejidad operativa, probablemente maneja >200 proveedores (construcción requiere múltiples subcontratistas, proveedores de materiales y servicios). Sin señal externa reportada (N/A). El ICP es alto por escala empresarial y necesidad crítica de debida diligencia en cadena de suministro.;15.0;1.0;ACCIONA;https://www.acciona.com;Alta
