Empresa,Estado actual,Estado a cambiar
Coca Cola Andina,50005795,opportunity
Toyota Chile,evangelist,customer
Inversiones Almasur,evangelist,opportunity
Invexxo,50005795,other (churned)
Empresas Coipsa,50005795,opportunity
Sacyr,evangelist,customer
Medipass,50005795,other (churned)
SumUp,50005795,other (churned)
Redbanc,evangelist,customer
Constructora Asfalcura SpA,49991712,customer
Polpaico Soluciones,evangelist,opportunity
STI,50005795,opportunity
cduc.cl,evangelist,opportunity
KidZania Santiago,evangelist,opportunity
Scotiabank,evangelist,customer
Turisviña,evangelist,opportunity
Fivana,49991712,customer
Datamart,50020179,customer
Boetsch,50020179,other (churned)
Transbank,50005795,opportunity
CIAL Alimentos S.A.,52560399,customer
MercadoLibre,50005795,opportunity
VIK Chile - Winery & Luxury Hotel,evangelist,opportunity
Sonda,49991712,customer
Master Martini USA,opportunity,sin cambio
ACHS ,evangelist,customer
Smart Fit,evangelist,customer
Aspor,50020179,other (churned)
Global Payments Inc.,evangelist,opportunity
Primus Capital Chile,50005795,opportunity
Inchcape,evangelist,opportunity
Paragon Private Advisors,52560399,customer
Yumari,50005795,opportunity
"Depósito Central de Valores, Chile",50005795,opportunity
Vitafoods,50005795,opportunity
NS Agro,evangelist,customer
Leasing San Cristóbal,50020179,other (churned)
Grenergy Renovables,50005795,opportunity
Nova Austral,50005795,opportunity
"CBRE Group, Inc.",50005795,other (churned)
Andes Salud,evangelist,opportunity
Arrimaq,evangelist,customer
Puerto Ventanas S.A.,evangelist,customer
Kamaleont,50020179,other (churned)
Instituto Profesional AIEP,evangelist,opportunity
Inmobiliaria Ecomac,opportunity,sin cambio
Skretting Chile,52560399,customer
Serviphar Chile,opportunity,sin cambio
Blumar,evangelist,customer
Larrain Vial,50020179,other (churned)
GLOBAL PHARMA,evangelist,opportunity
AFP Capital,50005795,opportunity
Grupo Enovus,evangelist,opportunity
Teck Resources Limited,50020180,opportunity
Globe S.A.,evangelist,opportunity
Conecta Mobility,evangelist,opportunity
Netafim Ltd,opportunity,sin cambio
Isapre Fundación,evangelist,opportunity
GasAndes ,evangelist,opportunity
Pool Inmobiliario,opportunity,sin cambio
CMPC,50005795,opportunity
CChC (cámara chilena de la construcción) ,50005795,customer
Viña Santa Rita,evangelist,customer
Küpfer Chile,evangelist,opportunity
Masisa,evangelist,customer
AbastibleTec,50005795,opportunity
Kinross Gold Corporation,evangelist,opportunity
Innergex,evangelist,opportunity
Nuevo Pudahuel,50005795,opportunity
Mundo tour,lead,opportunity
Salfa,50005795,opportunity
Buda,evangelist,customer
Suzuval,52560399,customer
Clinica Alemana de Santiago,evangelist,customer
Omnicom,evangelist,opportunity
flrosas.cl,opportunity,sin cambio
Inmobiliaria Fundamenta,evangelist,opportunity
abc S.A.,evangelist,opportunity
Puga,evangelist,opportunity
Albemarle ,evangelist,opportunity
Contempora Seguros Generales,evangelist,opportunity
FamilyShop,evangelist,opportunity
Fluor ,evangelist,opportunity
Axinntus,50005795,opportunity
Teletón,opportunity,sin cambio
Xepelin,evangelist,opportunity
Empresas Dimacofi,lead,opportunity
SICEP,evangelist,customer
Orica,50005795,opportunity
Minera Salar Blanco,evangelist,customer
Mudango,50020179,customer
Haulmer Inc,opportunity,other (churned)
Banco Bci,evangelist,customer
Cartama,evangelist,opportunity
Grupo Falabella,50020179,other (churned)
Red Bull,evangelist,opportunity
SERVICIOS FINANCIEROS PROGRESO S.A.,50020179,other (churned)
Ambipar Response Ltd,50005795,opportunity
Grupo Costanera S.A.,evangelist,opportunity
Mainstream Renewable Power,50005795,opportunity
ABASTIBLE S.A.,50005795,customer
Fundación Pro Bono,50005795,other (churned)
Agencia de Aduana Rodrigo Zulueta,opportunity,sin cambio
Prosud S.A.,evangelist,opportunity
Acciona,evangelist,opportunity
MAF Chile,evangelist,opportunity
Entel,customer,opportunity
Comaco Grúas,evangelist,opportunity
Toku,50005795,opportunity
Contenedores San Fernando S.A.,evangelist,opportunity
Chita Factoring Online,evangelist,customer
Puerto Angamos,50005795,opportunity
Enaex,evangelist,customer
Achs Salud,50005795,opportunity
ON*NETFIBRA,evangelist,opportunity
Ingenieria Civil Vicente,50005795,opportunity
Latam Trade Capital,50005795,customer
Gasco,evangelist,customer
Xinergy,evangelist,opportunity
Flow,evangelist,opportunity
Duoc UC,50005795,opportunity
Matrix ,evangelist,opportunity
Conexión Kimal-Lo Aguirre,evangelist,customer
ARAUCO,evangelist,customer
Avis Budget Chile,50020179,other (churned)
Lokal,evangelist,customer
Pucobre,opportunity,sin cambio
Maihue®,50005795,opportunity
Cristalerías de Chile,1151001700,opportunity
OTIC - Cámara Chilena de la Construcción,50005795,opportunity
Holding Servilinares,evangelist,opportunity
Camanchaca,50005795,opportunity
Universidad de Las Américas (CL),evangelist,customer
Bakels Chile,evangelist,opportunity
Marley Coffee Chile,evangelist,customer
Banco Consorcio,evangelist,other (churned)
Falabella,50020179,opportunity
Universidad Mayor,50020179,customer
Awto,50020179,other (churned)
GSK,evangelist,opportunity
EnfraGen,lead,opportunity
CEMIN Holding Minero,evangelist,opportunity
Report,evangelist,opportunity
Knauf,lead,opportunity
Espol S.A.,lead,opportunity
Terminal Puerto Coquimbo ,evangelist,opportunity
Leasing San Cristóbal,50020179,other (churned)
Santander,50020179,other (churned)
Fingo,50020179,other (churned)
Interacid Chile,lead,opportunity
Epysa Implementos Chile,opportunity,sin cambio
ESVAL S.A.,evangelist,customer
Pluxee,evangelist,customer
MallPlaza,50005795,other (churned)
SURA Investments,evangelist,opportunity
Quelen Fruit,opportunity,sin cambio
ReSimple,evangelist,opportunity
Mindugar,evangelist,opportunity
Financia Capital,evangelist,customer
GNL Quintero S.A.,50005795,opportunity
Universidad de Valparaíso,evangelist,opportunity
Celeo Chile,lead,opportunity
financiatumaquina.com,50005795,customer
Coordinador Eléctrico Nacional,evangelist,customer
Agroberries,evangelist,opportunity
Chilquinta Energía S.A.,50005795,opportunity
Cooke Aquaculture Scotland,50020180,customer
Grupo Simma,evangelist,opportunity
Telefonica,50005795,other (churned)
Bravo Izquierdo,50005795,other (churned)
Parque del Recuerdo,evangelist,opportunity
Detacoop Cooperativa de Ahorro y Crédito,evangelist,opportunity
Empresas Copec,opportunity,sin cambio
Inchcape Digital,50020179,customer
Sigdo Koppers,evangelist,customer
Adquim,50005795,opportunity
Volcán,50020179,customer
Elecmetal,customer,opportunity
Inmobiliaria FG,evangelist,customer
Femsa Salud,evangelist,opportunity
Universidad Católica del Norte,evangelist,opportunity
Sociedad Comercial Grandleasing Chile limitada,52560399,customer
Koff & Guerrero Consultants S.A.,customer,opportunity
Itf-Labomed Farmacéutica ,50005795,opportunity
Puerto Coronel,evangelist,customer
GASMAR,evangelist,customer
Hitachi CM,evangelist,opportunity
Factoring Security,lead,opportunity
Johnson & Johnson,evangelist,opportunity
Soprole,evangelist,customer
Worley,evangelist,customer
paycompany.com,evangelist,customer
Locales Conectados,50020179,other (churned)
ISS Chile,lead,opportunity
Samen Chile,50020179,other (churned)
Promet,50005795,opportunity
AURUS JOYERIA,evangelist,customer
Isapre Esencial,evangelist,opportunity
Kapin Capital,customer,opportunity
Echeverría Izquierdo,50020179,opportunity
Ambipar Enviroment,50005795,opportunity
Mutual de Seguridad,50005795,opportunity
finz.cl,50020179,other (churned)
Minuto Verde,evangelist,opportunity
ISA INTERCHILE S.A.,evangelist,customer
ClinicalMarket S.A.,lead,opportunity
Aliservice,evangelist,opportunity
Empresas Carozzi ,50005795,opportunity
Pontificia Universidad Católica de Chile,lead,opportunity
Sonacol - Sociedad Nacional de Oleoductos S.A.,evangelist,customer
DP World,evangelist,opportunity
Coexca,50005795,opportunity
MoonK,evangelist,customer
Essbio,50005795,opportunity
Scania Chile,50005795,opportunity
Softys,50005795,opportunity
Soho ,50005795,other (churned)
Sonda,evangelist,other (churned)
Universidad Católica Silva Henríquez ,evangelist,opportunity
Tenpo,50005795,other (churned)
Siete Cumbres Servicios Financieros,50020179,other (churned)
Fintoc,50005795,other (churned)
Grupo Belator,52560399,customer
DEMOCORP,evangelist,opportunity
Papa John's Chile,50020179,other (churned)
Maryun Seguridad Industrial Limitada,50020179,other (churned)
Tecno Fast,evangelist,customer
Gofirmex,50005795,other (churned)
Tanner,50005795,opportunity
COPEC,50005795,opportunity
David Del Curto ,evangelist,opportunity
Metro de Santiago S.A.,50005795,opportunity
VOLTA Chile,opportunity,sin cambio
Nutrisco,evangelist,opportunity
Magotteaux,evangelist,customer
arriendatumaquina.com,50005795,other (churned)
Lavel Ingeniería SpA.,evangelist,opportunity
Entel,50005795,customer
Klap,evangelist,customer
Jetti Resources,evangelist,customer
Quimetal Industrial S.A.,opportunity,sin cambio
Aiprise,50020179,other (churned)
SANVEST,opportunity,sin cambio
Club Universidad de Chile,evangelist,opportunity
Megalogística,52560399,customer
Temba,50005795,other (churned)
Golden Omega,evangelist,opportunity
Universidad Andrés Bello,50005795,opportunity
Syncore,evangelist,opportunity
EDF Renewables Chile,evangelist,customer
EMIN,50005795,other (churned)
Cassis Café,lead,opportunity
Finning International,evangelist,opportunity
Museo Interactivo Mirador,evangelist,opportunity
Rendalomaq,50005795,other (churned)
Conectados,50020179,other (churned)
