ID,Nombre,Estado actual,Estado nuevo
18642849793,Norteabierto,Nurturing,No calificado
20201451528,IKA Industrial,Lead,No calificado
9165725705,Global66,Nurturing,No calificado
9165725706,Fz Sports,50020179,No calificado
14904141835,Transelec,Nurturing,No calificado
9165725709,Kushki,Nurturing,No calificado
27970824206,Inacap Mail,Nurturing,No calificado
20274337807,Voltera Chile,Lead,No calificado
19652425743,Equitas Capital,Lead,No calificado
51025225748,Kaudat,Nurturing,No calificado
32135438358,Copreser,Nurturing,No calificado
26222675991,Verallia Chile,Nurturing,No calificado
31902720027,Ecovida S.A.,Nurturing,No calificado
21932050463,Capual - Cooperativa de Ahorro y Crédito Unión Aérea Ltda.,Nurturing,No calificado
34471208992,Check Auditor,evangelist,No calificado
19541483554,Clínica Pasteur,Nurturing,No calificado
21361518632,hansameyer-cl.com,Nurturing,No calificado
18019010605,Nexcar Renting,Lead,No calificado
20825260077,PPI - Precision Pulley & Idler,Nurturing,No calificado
33405962285,Preteco,Qualified Opportunity,No calificado
21576962094,Mutual de Seguros de Chile,Nurturing,No calificado
21836169269,virbac.cl,Nurturing,No calificado
17511133243,WOM Chile,Nurturing,No calificado
23548670013,Kovacs,Nurturing,No calificado
18323093566,Mercai,Lead,No calificado
9364842559,RedCapital,evangelist,No calificado
14919651393,Sitrans,Nurturing,No calificado
15892453442,Arch,Qualified Opportunity,No calificado
9826928710,Bruno Fritsch,evangelist,No calificado
20468408390,GOLD FIELDS,evangelist,No calificado
20446437450,BICE VIDA,Nurturing,No calificado
30925889616,LESCHACO - Lexzau Scharbau GmbH & Co. KG,Qualified Opportunity,No calificado
9166272593,Buk,evangelist,No calificado
15669203025,Boutic,Lead,No calificado
31275337810,Marimaca Copper,Nurturing,No calificado
10048370771,Asset AGF,Nurturing,No calificado
9826928725,carozzi,Nurturing,No calificado
19604078679,Acalis Latam,Lead,No calificado
8940361817,VSPT Wine Group,evangelist,No calificado
9826928729,FOSFOQUIM,Qualified Opportunity,No calificado
31799617625,Transdev,Nurturing,No calificado
18979678301,Stellantis,Nurturing,No calificado
15146602590,Empresas Lipigas,Nurturing,No calificado
29694236769,Retorna,Nurturing,No calificado
16057475171,Ocarrol rent a car,Lead,No calificado
31116603492,Himmel,Nurturing,No calificado
16794409071,Movistar Arena,Lead,No calificado
20135995506,Rheem,evangelist,No calificado
18394953843,Enel Chile,Nurturing,No calificado
20445712500,Warner Bros. Discovery,evangelist,No calificado
20135899255,Grupo Cerro,Nurturing,No calificado
28913174653,ICAFAL-LANCUYEN,Nurturing,No calificado
31134302334,PositronMed,Qualified Opportunity,No calificado
