rut,company_name,score,vertical,tamaño,holding,trabajadores,regulacion,proveedores,segmento,señal,pain_point,reasoning,giro,tramo,region,error
92288000-K,DROGUERIA HOFMANN LIMITADA Y COMPANIA SOCIEDAD EN COMANDITA POR ACCIONES,45,Manufactura Retail,20,0,5,0,15,5,0,Gestión de debida diligencia en cadena de suministro de productos científicos y quirúrgicos con requisitos de calidad y trazabilidad regulatoria,"Se clasifica como Manufactura Retail porque Droguería Hofmann es distribuidor mayorista de instrumentos científicos y quirúrgicos (mix de manufactura y retail B2B). Con 267 trabajadores es gran empresa (20 pts). No hay regulación sectorial específica (CMF, Sernageomin, SEC, CNE no aplican). Estima 50-200 proveedores típicos para distribuidor de instrumentos especializados (15 pts). Sin señal externa reportada (0 pts). El principal pain_point es la evaluación de proveedores dado que comercializa productos de alto riesgo sanitario.",VENTA AL POR MAYOR DE INSTRUMENTOS CIENTIFICOS Y QUIRURGICOS,12,RENCA,
96881170-3,INGENIERIA ASES EN COMPUTAC Y COMUNIC NEOSECURE S A,40,Otro,20,0,5,0,15,0,0,Gestión y evaluación de riesgos en la cadena de suministro de proveedores de tecnología y servicios de comunicación,"La empresa se clasifica en 'Otro' porque su giro es 'Venta al por mayor no especializada' con énfasis en ingeniería, computación y comunicaciones (Neosecure), no encajando en los verticales definidos. No hay evidencia de regulación específica por CMF, Sernageomin, SEC o CNE (0 puntos). Con 330 trabajadores y siendo gran empresa distribuidora B2B, probablemente maneja entre 50-200 proveedores de tecnología, telecomunicaciones y servicios complementarios (15 puntos). No hay señal externa proporcionada (0 puntos). Como distribuidor mayorista tecnológico con múltiples proveedores, el pain point es la evaluación y monitoreo continuo de riesgos de compliance en su cadena de suministro.",VENTA AL POR MAYOR NO ESPECIALIZADA,13,PROVIDENCIA,
76364227-5,IM2 SOLAR CHILE SPA,70,Mining/Energía,20,0,5,15,25,5,0,"Gestión y evaluación de riesgo de proveedores en cadena de suministro de energía solar, cumplimiento normativo de CNE y debida diligencia de múltiples contratistas.","IM2 Solar Chile es una empresa de servicios en el sector solar/energías renovables. Se clasifica en Mining/Energía por su giro directo en energía solar. Como empresa de 270 trabajadores en sector energético, probablemente está regulada por CNE (Comisión Nacional de Energía) en Chile, otorgando 15 puntos. Por su tamaño y naturaleza como empresa de servicios energéticos, estimamos >200 proveedores (25 puntos): equipos solares, componentes eléctricos, contratistas, logística. Sin señal externa reportada = 0 puntos. El pain_point identifica la necesidad crítica de evaluar proveedores en cadena de suministro energética con cumplimiento normativo.",OTRAS ACTIVIDADES DE SERVICIOS DE APOYO A LAS EMPRESAS N.C.P.,12,VITACURA,
76597810-6,MINERIA Y MEDIO AMBIENTE SPA,58,Mining/Energía,20,0,3,15,15,5,0,"Gestión y evaluación de riesgos de proveedores y contratistas en operaciones mineras, cumplimiento de normativas ambientales y de seguridad","La empresa se clasifica en Mining/Energía debido a su nombre explícito 'MINERIA Y MEDIO AMBIENTE' combinado con su giro en servicios de ingeniería y consultoría técnica, indicando especialización en el sector minero. Regulación: 15 puntos porque empresas de servicios mineros están típicamente reguladas por Sernageomin y deben cumplir normativas ambientales y de seguridad. Proveedores: 15 puntos (50-200) estimado por ser una gran empresa de 97 trabajadores en consultoría de ingeniería que requiere múltiples proveedores especializados pero no masivo como operadora minera. Señal: 0 puntos porque no se proporciona información de eventos relevantes (N/A). Como empresa minera, sus mayores dolores incluyen debida diligencia de proveedores, cumplimiento regulatorio ambiental y evaluación de riesgos operacionales.",EMPRESAS DE SERVICIOS DE INGENIERIA Y ACTIVIDADES CONEXAS DE CONSULTORIA TECNICA,10,PROVIDENCIA,
77760300-0,FIGUEROA Y DIAZ INGENIEROS ASOCIADOS S.A,40,Otro,20,0,5,0,15,0,0,"Gestión y evaluación de riesgos de proveedores especializados en I+D y servicios de ingeniería, incluyendo cumplimiento normativo y debida diligencia de partners técnicos.","La empresa es una consultora de ingeniería e I+D sin clasificación en verticales principales. No está bajo regulación específica de CMF, Sernageomin, SEC o CNE. Por su tamaño (225 empleados = gran empresa) y naturaleza de servicios profesionales de ingeniería, probablemente maneja entre 50-200 proveedores especializados (consultores, subcontratistas técnicos, proveedores de insumos científicos). Sin señal externa reportada. Como empresa de servicios técnicos complejos, requiere debida diligencia rigurosa de sus proveedores y colaboradores para mitigar riesgos operacionales.",INVESTIGACIONES Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA,11,PROVIDENCIA,
99516650-K,INMOBILIARIA ELQUI S A,35,Otro,20,0,0,0,15,0,0,"Evaluación y gestión de riesgos de proveedores inmobiliarios (constructoras, inmobiliarias, corredores) y validación de antecedentes de clientes/compradores para cumplimiento normativo.","La empresa es una inmobiliaria dedicada a compra, venta y alquiler de inmuebles. Se clasifica en 'Otro' ya que no corresponde a los verticales predefinidos (no es financiero, mining/energía, utilities o manufactura retail). Regulación: 0 puntos porque las inmobiliarias no están bajo supervisión de CMF, Sernageomin, SEC o CNE en Chile. Proveedores: 15 puntos (50-200) estimando que una inmobiliaria de 27 trabajadores maneja múltiples proveedores de servicios inmobiliarios, constructores, corredores, abogados, pero no alcanza los 200. Señal: 0 puntos porque no hay señal externa reportada. El pain point refleja que Plutto puede ayudar a validar proveedores del sector inmobiliario y evaluar riesgos de clientes compradores/arrendatarios.","COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES",11,LA SERENA,
76473364-9,CONSTRUCTORA ELISUR  SPA,50,Otro,20,0,5,0,25,0,0,Gestión y evaluación de riesgos en cadena de suministro de proveedores de materiales y servicios de construcción,"La empresa es una constructora residencial de gran tamaño (432 trabajadores) que no califica en verticales regulados como Financiero, Mining/Energía, Utilities o Manufactura Retail. Se clasifica en 'Otro'. No está regulada por CMF, Sernageomin, SEC o CNE (0 puntos regulación). Por ser gran constructora con múltiples proyectos simultáneos, típicamente maneja >200 proveedores (materiales, subcontratistas, servicios) lo que justifica 25 puntos en proveedores. Sin señal externa reportada (N/A = 0 puntos). El pain_point refleja la necesidad crítica en construcción de validar proveedores y detectar riesgos en una cadena compleja.",CONSTRUCCION DE EDIFICIOS PARA USO RESIDENCIAL,11,PITRUFQUEN,
96670340-7,BATA CHILE  S.A.,48,Manufactura Retail,20,0,8,0,15,5,0,"Gestión y evaluación de riesgos en cadena de proveedores de calzado y materias primas, considerando complejidad de supply chain internacional y cumplimiento normativo en importaciones.","Bata Chile es una empresa retail especializada en venta de calzado con 681 trabajadores (gran empresa). Se clasifica en 'Manufactura Retail' por ser operación de retail con potencial manufacturing. No está regulada por CMF, Sernageomin, SEC o CNE (su regulación es laboral/tributaria estándar = 0 puntos). Como empresa retail de calzado de tamaño considerable, probablemente gestiona entre 50-200 proveedores (proveedores de calzado, materias primas, accesorios, servicios logísticos) = 15 puntos. No hay señal externa reportada (N/A = 0 puntos). El pain point principal es la debida diligencia en proveedores dado el volumen y complejidad de su cadena de suministro.",VENTA AL POR MENOR DE CALZADO EN COMERCIOS ESPECIALIZADOS,13,MAIPU,
76418976-0,AGUAS DE ANTOFAGASTA S.A.,73,Utilities/Infraestructura,20,0,8,15,25,5,0,Gestión de riesgos en cadena de proveedores críticos de servicios esenciales y cumplimiento normativo de regulador sectorial,"La empresa es clasificada en Utilities/Infraestructura por su giro de captación, tratamiento y distribución de agua, servicio esencial de infraestructura. Recibe 15 puntos en regulación porque las empresas sanitarias en Chile están reguladas por la Superintendencia de Servicios Sanitarios (SISS), organismo que supervisa tarifas, calidad y operación. Recibe 25 puntos en proveedores porque una empresa de 649 trabajadores en servicios de agua requiere una cadena compleja de proveedores (químicos, equipos, infraestructura, mantenimiento, logística) estimada en más de 200. Sin señal externa reportada, obtiene 0 puntos. Como empresa crítica de servicios básicos con alta regulación y complejidad operativa, Plutto resolvería el desafío de due diligence y evaluación de riesgos en sus múltiples proveedores.","CAPTACION, TRATAMIENTO Y DISTRIBUCION DE AGUA",13,ANTOFAGASTA,
76033862-1,SISTEMAS HIDRAULICOS E INDUSTRIALES BALFLEX CHILE SPA,43,Manufactura Retail,20,0,3,0,15,5,0,Gestión y evaluación de proveedores de componentes hidráulicos e industriales para asegurar calidad y cumplimiento normativo en reparaciones,"La empresa se dedica a reparación de equipos de transporte e industriales (giro específico de sistemas hidráulicos), lo que la clasifica en Manufactura Retail como empresa industrial/manufacturera. Con 51 trabajadores (gran empresa) y operaciones de reparación, probablemente maneja entre 50-200 proveedores de componentes y servicios especializados (15 puntos). No hay regulación específica aplicable (CMF, Sernageomin, SEC, CNE no regulan este tipo de empresas de reparación industrial). Sin señal externa registrada (N/A = 0 puntos). El pain point principal es la evaluación de proveedores de componentes críticos para garantizar calidad en reparaciones.","REPARACION DE OTROS EQUIPOS DE TRANSPORTE N.C.P., EXCEPTO VEHICULOS AUTOMOTORES",10,MAIPU,
94636000-7,GALILEA S A DE INGENIERIA Y CONSTRUCCION,60,Utilities/Infraestructura,20,0,5,15,15,5,0,Gestión de riesgo en la cadena de proveedores de construcción e inmuebles; cumplimiento normativo en transacciones inmobiliarias y evaluación de contratistas.,"La empresa GALILEA S.A. de Ingeniería y Construcción, a pesar de tener clasificado un giro de 'compra, venta y alquiler de inmuebles', es fundamentalmente una empresa de construcción e ingeniería (según razón social). Se clasifica en Utilities/Infraestructura por su actividad principal de construcción e ingeniería. Regulación: obtiene 15 puntos porque el sector inmobiliario y construcción está regulado por normativas municipales, permisos de edificación y potencialmente por SEC en transacciones significativas. Proveedores: obtiene 15 puntos (50-200) estimando que una gran empresa de construcción con 225 trabajadores típicamente maneja múltiples proveedores de materiales, subcontratistas y servicios. Señal externa: 0 puntos por N/A (no proporcionada).","COMPRA, VENTA Y ALQUILER (EXCEPTO AMOBLADOS) DE INMUEBLES",13,TALCA,
76103571-1,EATON INDUSTRIES (CHILE) SPA,65,Otro,20,0,5,15,25,0,0,Gestión y evaluación de proveedores críticos en cadena de suministro de componentes electromecánicos de alto riesgo regulatorio,"Eaton Industries es fabricante de equipos eléctricos y de distribución, clasificada como Manufacturing. Opera en sector regulado (CNE por equipos de distribución eléctrica y potencialmente SEC por equipos de control). Con 437 trabajadores es gran empresa (20 puntos base). Como manufacturer de equipos críticos para infraestructura eléctrica, típicamente maneja >200 proveedores de componentes, materias primas y servicios especializados (25 puntos). No hay señal externa reportada (0 puntos). Pain point relevante: necesidad crítica de KYB sobre proveedores en industria regulada y de cadena compleja.","FABRICACION DE MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS, APARATOS DE DISTRIBUCION Y CONTROL",13,LAMPA,
96825130-9,FERROVIAL CONSTRUCCION CHILE S A,75,Utilities/Infraestructura,20,0,10,15,25,5,0,"Gestión y evaluación de riesgos en una cadena de suministro compleja de construcción con cientos de proveedores, subcontratistas y colaboradores distribuidos geográficamente.","Ferrovial Construcción Chile opera en construcción de carreteras e infraestructura ferroviaria, clasificándose en Utilities/Infraestructura. Como empresa constructora de gran escala (1.698 trabajadores, gran empresa) en proyectos de infraestructura pública/privada, está regulada por entidades como MOP, Sernageomin y potencialmente CNE según proyectos (15 puntos regulación). Por su tamaño y naturaleza de construcción, maneja típicamente >200 proveedores especializados en materiales, equipos y servicios (25 puntos proveedores). Sin señal externa reportada (0 puntos señal). El pain_point se enfoca en su necesidad crítica de due diligence en proveedores dado el riesgo regulatorio y complejidad operacional.",CONSTRUCCION DE CARRETERAS Y LINEAS DE FERROCARRIL,13,LAS CONDES,
76283675-0,UNIBAG SPA.,43,Manufactura Retail,20,0,3,0,15,5,0,Gestión y evaluación de riesgos en cadena de proveedores de materias primas textiles y componentes de manufactura,"UNIBAG SPA se clasifica en 'Manufactura Retail' dado su giro de fabricación de productos textiles. Como empresa manufacturera de 79 trabajadores (gran empresa), típicamente requiere entre 50-200 proveedores de materias primas, insumos y servicios logísticos, asignando 15 puntos. No presenta señal regulatoria o externa (N/A), por lo que suma 0 puntos. La industria textil en Chile no está bajo regulación específica de CMF, Sernageomin, SEC o CNE, sumando 0 puntos en regulación. El principal dolor sería la debida diligencia de proveedores de materias primas y componentes textiles para mitigar riesgos de cadena de suministro.",FABRICACION DE OTROS PRODUCTOS TEXTILES N.C.P.,11,COLINA,
